roster_date,RFP_Key,rfp_type_random,rfp_name_random,rfp_location,Name,Address,city,State,Zip,Phone,rfp_primary,program_flag,program_date,active_quarters,base_active_quarters,sap,location_enddate,location_startdate,eligibility_enddate,eligibility_startdate,startdate,enddate
10/2/2024,SCG448110,ACUALL,PV,42275,"Delgado, Nelson and Nelson",92673 David Island Suite 104,Edwardsville,Tennessee,23278,(677)664-8742x2722,0,,,,1,42275,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG984594,ACUALL,PV,42275,Barnett-Smith,039 Frank Meadow,Edwardsville,South Dakota,72518,6479440828,0,,,,1,42275,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG075479,PE,MED,52533,Stevens-Carr,83472 Hall Glen,Hendersonville,Oklahoma,59051,001-387-372-8869x6812,0,,,,1,52533,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG534058,PE,MED,52533,"Brown, Miller and Benton",63289 Harris Ports Suite 165,Hendersonville,Georgia,54370,+1-692-364-8561x103,0,,,,1,52533,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG591315,PE,MED,52533,Curtis-Hinton,24887 Monroe Corners Suite 622,Hendersonville,Colorado,61516,307.587.4598x85048,0,,,,1,52533,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG352139,PE,MED,52533,"Pearson, Villanueva and Underwood",1660 Thomas Shoal,Hendersonville,Kentucky,92865,6427916847,0,,,,1,52533,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG529290,PE,MED,52533,"Howard, Williams and Griffin",60593 Karen Garden,Hendersonville,Tennessee,42371,(333)377-4513,0,,,,1,52533,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG495833,myAPP,ABB,43971,Goodman-Alvarado,21341 Amy Plaza Apt. 156,Clintonville,Arkansas,42675,(830)817-3297x772,0,Preferred,7/2/2020,7,3,43971,4/11/2262,7/1/2024,4/11/2262,7/1/2024,7/1/2024,12/31/2024
10/2/2024,SCG840495,ACUALL,STANTON,37159,Tucker PLC,568 Haney Crossing Suite 942,Morristown,Mississippi,20131,+1-665-389-4542x8806,1,,,,3,37159,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG684910,ACUALL,STANTON,37159,Flores-Lopez,9606 Richard River,Morristown,Alabama,76870,001-784-674-4610,1,,,,3,37159,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG713733,ACUALL,STANTON,37159,"Griffin, Martin and Schultz",2267 Collier Expressway,Morristown,Connecticut,92183,+1-738-531-4764x122,1,,,,3,37159,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG787010,ACUALL,STANTON,37159,Brooks-Green,19380 Harris Ridges Suite 021,Morristown,Wisconsin,80158,578-885-5138x5726,1,,,,3,37159,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG692719,ACUALL,STANTON,37159,"Flores, Miller and Lynn",252 Nelson Common Suite 114,Morristown,Hawaii,2417,+1-513-604-1697x34702,1,,,,3,37159,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG944071,GPO,myAPP,31535,Hatfield LLC,8776 Steele Groves Suite 604,Lambertville,North Carolina,81216,001-927-523-2568x347,0,,,,1,31535,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG172014,GPO,myAPP,31535,Williams PLC,017 Tami Glens,Lambertville,Oregon,13442,461.661.0228x272,0,,,,1,31535,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG157654,myAPP,ACUALL,35531,"Robinson, Wood and Day",0604 Avila Corners,Westport,Oregon,43510,510-962-2688,0,,,,1,35531,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG182361,PE,myAPP,23713,"Holland, Oconnor and Torres",3254 Paula Squares Suite 440,Crossville,Washington,90018,+1-770-707-0416x6193,1,,,,1,23713,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG435334,PE,myAPP,23713,"Price, Hampton and Carroll",59700 Munoz Center,Crossville,North Dakota,17155,001-287-423-0238,1,,,,1,23713,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG183864,Lease Franchise,PECAA,23726,Mcintyre-Cox,2021 Smith Freeway Apt. 076,Jamestown,Ohio,32880,3816038974,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG513665,Lease Franchise,PECAA,23726,"Miller, Johnson and Martinez",40213 Tracy Circle,Jamestown,Arkansas,60081,711.358.2176x1128,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG307353,Lease Franchise,PECAA,23726,"Walsh, Edwards and Wheeler",393 John Loaf Suite 993,Jamestown,New York,64041,(393)841-6899x38920,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG677094,Lease Franchise,PECAA,23726,"Butler, Richardson and Kelley",63937 Taylor Heights,Jamestown,Oklahoma,57757,(577)733-3714x241,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG287964,Lease Franchise,PECAA,23726,Rodriguez Inc,24553 Dickerson Passage Apt. 138,Jamestown,Idaho,91505,(959)312-7446x2310,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG729813,Lease Franchise,PECAA,23726,Hawkins Ltd,43671 Sandra Creek Suite 713,Jamestown,Georgia,93873,001-820-507-0596x579,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG303001,Lease Franchise,PECAA,23726,"Le, Owens and Davis",8645 Henderson Springs Apt. 889,Jamestown,Nevada,42891,553-950-6526x374,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG724299,Lease Franchise,PECAA,23726,Rasmussen Ltd,068 Patterson Mission Suite 275,Jamestown,Alabama,75258,7105108742,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG379341,Lease Franchise,PECAA,23726,"Davis, Pearson and Dunn",8717 Barnett Vista Apt. 993,Jamestown,Connecticut,29110,416-378-9322,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG449238,Lease Franchise,PECAA,23726,"Brown, Parker and Sparks",65833 Daniels Fields Suite 952,Jamestown,Arizona,43500,+1-257-581-5595x49089,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG245579,Lease Franchise,PECAA,23726,"Alvarez, Byrd and Franklin",205 Patel Valleys Apt. 298,Jamestown,Maryland,74725,362-492-2435,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG662592,Lease Franchise,PECAA,23726,"Rivera, Guerrero and Russell",548 Williamson Road Suite 938,Jamestown,California,90521,8596722639,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG110963,Lease Franchise,PECAA,23726,Barrett-Mcknight,036 Gary Station Suite 370,Jamestown,Oregon,70450,246-766-3847x8096,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG111924,Lease Franchise,PECAA,23726,Walls-Lewis,77903 Elliott Ford,Jamestown,Florida,546,932.918.3386x3218,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG440233,Lease Franchise,PECAA,23726,"Rosario, Frederick and Bates",8723 David Villages,Jamestown,Hawaii,35364,8914352662,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG901156,Lease Franchise,PECAA,23726,Lewis Inc,1787 Jason Meadow,Jamestown,Mississippi,93192,5407292459,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG578339,Lease Franchise,PECAA,23726,Gordon-Duke,652 Ross Path Apt. 606,Jamestown,Washington,35390,4869009201,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG736073,Lease Franchise,PECAA,23726,"Kim, Jones and Webb",933 Rebecca Via Apt. 895,Jamestown,Colorado,39025,236.205.0434,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG716685,Lease Franchise,PECAA,23726,Eaton and Sons,5816 Baker Road Apt. 082,Jamestown,Georgia,13016,(696)691-5005x816,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG692991,Lease Franchise,PECAA,23726,"Flores, Jackson and Turner",1571 Jason Brook,Jamestown,Nebraska,77889,001-930-593-2378x796,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG069383,Lease Franchise,PECAA,23726,Beltran-Smith,321 Jacob Point,Jamestown,Florida,12403,+1-677-999-2748x54221,0,,,,1,23726,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG562310,Regional Retailer,ACUALL,50679,"Singh, Clark and Kramer",80722 Roger Spur Apt. 719,Greenville,Louisiana,19546,(586)420-8074,0,,,,1,50679,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG963842,GPO,myAPP,14096,Charles-Cline,39300 Eric Circles,Jacksonville,Tennessee,60976,+1-746-433-9708x889,0,,,,3,14096,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG829332,GPO,myAPP,14096,Mcdaniel and Sons,7019 Maynard Spring,Jacksonville,New Hampshire,92835,(719)946-9339,0,,,,3,14096,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG517997,GPO,PECAA,22937,Wise Inc,750 Gallegos Parkways,Lewiston,Florida,26013,+1-466-756-8256x87192,1,,,,3,22937,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG412301,GPO,PECAA,22937,Jones Inc,12270 Moore Spurs,Lewiston,Arizona,6734,(405)279-8373x506,1,,,,3,22937,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG261250,GPO,PECAA,22937,"Davis, Davis and Schmitt",217 Herrera Dale,Lewiston,Kansas,50316,351.562.1549,1,,,,3,22937,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG454595,GPO,PECAA,22937,Hicks-Atkinson,2721 Jennifer Mews Apt. 437,Lewiston,Rhode Island,50223,358-293-1191x09713,1,,,,3,22937,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG894329,GPO,PECAA,22937,Cook-Hoffman,165 Sean Passage,Lewiston,Maryland,65358,+1-978-957-1129x21769,1,,,,3,22937,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG116734,GPO,PECAA,22937,Garner LLC,49291 Cristina Club,Lewiston,Massachusetts,78305,+1-295-534-0741x274,1,,,,3,22937,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG569337,GPO,PECAA,22937,Reed and Sons,94190 Miller Passage Suite 922,Lewiston,Arkansas,24519,+1-852-944-4128x791,1,,,,3,22937,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG178986,GPO,PECAA,22937,Torres Group,27558 Evans Valleys Apt. 783,Lewiston,Rhode Island,4203,572-546-1961x948,1,,,,3,22937,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG126947,GPO,PECAA,22937,"Ray, Becker and Watkins",47064 Brittany Ports,Lewiston,Illinois,35704,227-891-2369x43730,1,,,,3,22937,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG466100,GPO,PECAA,22937,Nichols and Sons,758 Michelle Hill,Lewiston,Arizona,21177,+1-507-742-7379x8041,1,,,,3,22937,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG115816,GPO,PECAA,22937,"Weber, Rogers and Zamora",992 Mccoy Court Apt. 855,Lewiston,Rhode Island,79218,643-327-9386x0901,1,,,,3,22937,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG746530,myAPP,HEA,29579,Gutierrez Inc,1184 Carr Port,Allentown,Florida,96960,2305017658,1,,,,3,29579,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG101268,myAPP,HEA,29579,Ramirez-Clarke,4692 Morgan Heights Suite 484,Allentown,Indiana,94598,001-848-384-5965x25730,1,,,,3,29579,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG055762,myAPP,HEA,29579,Morales-Steele,947 Andre Mill Suite 265,Allentown,Indiana,92426,699-290-0122,1,,,,3,29579,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG445897,myAPP,HEA,29579,Reynolds and Sons,23626 Greene Forge Suite 602,Allentown,Mississippi,16905,958-961-5405,1,,,,3,29579,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG502915,myAPP,HEA,29579,Mccarthy Ltd,224 Bell Shore,Allentown,Pennsylvania,13342,279.341.2534x923,1,,,,3,29579,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG996543,myAPP,HEA,29579,"Brown, Stanton and Johnson",3273 Hansen Throughway Apt. 927,Allentown,Maryland,55585,976.206.7302x2462,1,,,,3,29579,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG083547,myAPP,HEA,29579,Thomas-Estrada,125 Mendoza Cliff,Allentown,Connecticut,71337,(403)254-6191x1326,1,,,,3,29579,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG332209,myAPP,HEA,29579,"Oconnor, Taylor and Weaver",49593 Michael Trafficway,Allentown,Illinois,53177,260-685-7418,1,,,,3,29579,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG403277,myAPP,myAPP,36610,Fowler Group,87915 Jacobs Islands,Greeneville,Arkansas,29283,306-444-6647,0,,,,3,36610,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG040767,myAPP,myAPP,36610,Ray-Sosa,65906 Kenneth Manors Suite 638,Greeneville,Virginia,78784,724-938-8344,0,,,,3,36610,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG562762,myAPP,myAPP,36610,Rodriguez-Esparza,7550 Jonathan Route,Greeneville,South Dakota,51860,(630)409-6712x71782,0,,,,3,36610,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG799746,myAPP,myAPP,36610,Thornton Inc,3538 Brooks Roads Suite 003,Greeneville,Mississippi,72382,956-927-5978x398,0,,,,3,36610,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG517997,Lease Franchise,ADO,34209,Wise Inc,750 Gallegos Parkways,Lewiston,Florida,26013,+1-466-756-8256x87192,1,,,,3,34209,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
